Wert1,Wert2,Wert3,Wert4,Wert5
"1423,336","1,24E-02","0,000022","3,134930E+00","5,547188E-03"
"1424,338","1,24E-02","0,000022","3,138295E+00","5,547119E-03"
"1425,339","1,25E-02","0,000022","3,147737E+00","5,546926E-03"
"1426,34","1,24E-02","0,000022","3,139123E+00","5,547102E-03"
"1427,349","1,24E-02","0,000022","3,126430E+00","5,547362E-03"
"1428,36","1,24E-02","0,000022","3,115782E+00","5,547582E-03"
"1429,371","1,23E-02","0,000022","3,098424E+00","5,547944E-03"
"1430,377","1,23E-02","0,000022","3,098526E+00","5,547942E-03"
"1431,397","1,22E-02","0,000022","3,069293E+00","5,548561E-03"
"1432,404","1,22E-02","0,000022","3,070706E+00","5,548531E-03"
"1433,413","1,21E-02","0,000022","3,057587E+00","5,548813E-03"
"1434,416","1,21E-02","0,000022","3,053093E+00","5,548910E-03"
"1435,418","1,22E-02","0,000022","3,068450E+00","5,548579E-03"
"1436,418","1,21E-02","0,000022","3,058958E+00","5,548783E-03"
"1437,425","1,21E-02","0,000022","3,049519E+00","5,548987E-03"
"1438,435","1,21E-02","0,000022","3,046722E+00","5,549048E-03"
"1439,447","1,20E-02","0,000022","3,037525E+00","5,549248E-03"
"1440,454","1,21E-02","0,000022","3,040336E+00","5,549187E-03"
"1441,465","1,20E-02","0,000022","3,030261E+00","5,549407E-03"
"1442,468","1,19E-02","0,000022","3,008259E+00","5,549893E-03"
"1443,477","1,19E-02","0,000022","3,004214E+00","5,549983E-03"
"1444,484","1,19E-02","0,000022","2,999936E+00","5,550079E-03"
"1445,502","1,18E-02","0,000022","2,984176E+00","5,550434E-03"
"1446,514","1,18E-02","0,000022","2,978857E+00","5,550555E-03"
"1447,521","1,18E-02","0,000022","2,973552E+00","5,550675E-03"
"1448,529","1,18E-02","0,000022","2,970708E+00","5,550740E-03"
"1449,53","1,17E-02","0,000022","2,962495E+00","5,550928E-03"
"1450,556","1,17E-02","0,000022","2,953622E+00","5,551133E-03"
"1451,566","1,18E-02","0,000022","2,967500E+00","5,550814E-03"
"1452,573","1,16E-02","0,000022","2,928329E+00","5,551722E-03"
"1453,586","1,16E-02","0,000022","2,936430E+00","5,551532E-03"
"1454,609","1,16E-02","0,000022","2,922397E+00","5,551862E-03"
"1455,632","1,16E-02","0,000022","2,919675E+00","5,551927E-03"
"1456,635","1,16E-02","0,000022","2,920261E+00","5,551913E-03"
"1457,64","1,15E-02","0,000022","2,912593E+00","5,552095E-03"
"1458,658","1,15E-02","0,000021","2,899662E+00","5,300021E-03"
"1459,669","1,15E-02","0,000022","2,903929E+00","5,552301E-03"
"1460,67","1,15E-02","0,000021","2,896070E+00","5,300104E-03"
"1461,695","1,14E-02","0,000021","2,874878E+00","5,300594E-03"
"1462,705","1,13E-02","0,000021","2,861819E+00","5,300900E-03"
"1463,718","1,13E-02","0,000021","2,860526E+00","5,300930E-03"
"1464,728","1,13E-02","0,000021","2,860974E+00","5,300919E-03"
"1465,738","1,13E-02","0,000021","2,861124E+00","5,300916E-03"
"1466,77","1,13E-02","0,000021","2,856986E+00","5,301013E-03"
"1467,783","1,13E-02","0,000021","2,852487E+00","5,301120E-03"
"1468,8","1,12E-02","0,000021","2,834493E+00","5,301549E-03"
"1469,806","1,13E-02","0,000021","2,842883E+00","5,301348E-03"
"1470,808","1,12E-02","0,000021","2,825547E+00","5,301764E-03"
"1471,82","1,12E-02","0,000021","2,821788E+00","5,301855E-03"
"1472,826","1,11E-02","0,000021","2,796543E+00","5,302471E-03"
"1473,83","1,10E-02","0,000021","2,789195E+00","5,302653E-03"
"1474,84","1,11E-02","0,000021","2,792306E+00","5,302576E-03"
"1475,852","1,10E-02","0,000021","2,784180E+00","5,302777E-03"
"1476,862","1,09E-02","0,000021","2,762609E+00","5,303318E-03"
"1477,877","1,10E-02","0,000021","2,781137E+00","5,302853E-03"
"1478,89","1,09E-02","0,000021","2,757477E+00","5,303448E-03"
"1479,912","1,09E-02","0,000021","2,751796E+00","5,303592E-03"
"1480,92","1,08E-02","0,000021","2,728745E+00","5,304184E-03"
"1481,98","1,08E-02","0,000021","2,725527E+00","5,304267E-03"
"1483,026","1,08E-02","0,000021","2,720116E+00","5,304408E-03"
"1484,079","1,07E-02","0,000021","2,698388E+00","5,304979E-03"
"1485,089","1,07E-02","0,000021","2,691648E+00","5,305158E-03"
"1486,114","1,06E-02","0,000021","2,687029E+00","5,305281E-03"
"1487,126","1,06E-02","0,000021","2,687832E+00","5,305260E-03"
"1488,148","1,07E-02","0,000021","2,695207E+00","5,305063E-03"
"1489,158","1,06E-02","0,000021","2,681049E+00","5,305441E-03"
"1490,179","1,05E-02","0,000021","2,659536E+00","5,306024E-03"
"1491,19","1,05E-02","0,000021","2,659159E+00","5,306034E-03"
"1492,211","1,06E-02","0,000021","2,674491E+00","5,305618E-03"
"1493,217","1,04E-02","0,00002","2,635151E+00","5,053995E-03"
"1494,241","1,04E-02","0,00002","2,635522E+00","5,053986E-03"
"1495,268","1,03E-02","0,00002","2,610449E+00","5,054656E-03"
"1496,288","1,04E-02","0,00002","2,620160E+00","5,054395E-03"
"1497,292","1,04E-02","0,00002","2,619006E+00","5,054425E-03"
"1498,302","1,03E-02","0,00002","2,615070E+00","5,054531E-03"
"1499,33","1,03E-02","0,00002","2,599619E+00","5,054949E-03"
"1500,347","1,03E-02","0,00002","2,605516E+00","5,054789E-03"
"1501,354","1,02E-02","0,00002","2,574735E+00","5,055633E-03"
"1502,356","1,02E-02","0,00002","2,573591E+00","5,055665E-03"
"1503,372","1,02E-02","0,00002","2,575047E+00","5,055624E-03"
"1504,374","1,01E-02","0,00002","2,562360E+00","5,055978E-03"
"1505,391","1,01E-02","0,00002","2,556607E+00","5,056140E-03"
"1506,415","1,01E-02","0,00002","2,556953E+00","5,056130E-03"
"1507,422","1,01E-02","0,00002","2,555988E+00","5,056157E-03"
"1508,435","1,01E-02","0,00002","2,548635E+00","5,056365E-03"
"1509,435","1,00E-02","0,00002","2,538732E+00","5,056646E-03"
"1510,442","1,00E-02","0,00002","2,528277E+00","5,056946E-03"
"1511,448","1,00E-02","0,00002","2,537638E+00","5,056678E-03"
